frame,frame_time_ns
1,224451400
2,5340000
3,5885400
4,5435400
5,5091400
6,4027400
7,3692300
8,4140000
9,3303000
10,3692100
11,5081100
12,4250800
13,4459500
14,4219200
15,4050500
16,4177900
17,3278500
18,3888900
19,3304900
20,4246600
21,5931800
22,5388100
23,5652300
24,5368300
25,5765200
26,4322200
27,4886700
28,6301700
29,5933100
30,4865600
31,4307300
32,3666500
33,2964400
34,3452800
35,3510400
36,3010900
37,3996800
38,3718600
39,5735300
40,3229100
41,3381700
42,2900800
43,3062000
44,2945800
45,2310500
46,2846400
47,2635900
48,4146800
49,3125900
50,3972500
51,2511300
52,4366100
53,3177000
54,3285600
55,2670800
56,3458700
57,2649100
58,2693100
59,3472500
60,2674500
61,3796100
62,3615200
63,3589000
64,2977000
65,5991100
66,3496700
67,3630400
68,3660500
69,3080100
70,2187000
71,2706200
72,2415900
73,2394000
74,3151000
75,2630700
76,5017400
77,5310900
78,4350500
79,4313200
80,3682900
81,3317300
82,3777700
83,3164400
84,3691400
85,3785400
86,3479800
87,3439600
88,4983100
89,4183600
90,3324200
91,3725800
92,2801700
93,2646700
94,3836700
95,2533400
96,3534600
97,3473300
98,4150800
99,4770100
100,3229700
101,4462300
102,3153600
103,4346300
104,3282900
105,4446200
106,3223400
107,4354300
108,3389700
109,3629300
110,4250000
111,3216100
112,4359100
113,3320900
114,3394500
115,2404500
116,2832600
117,3299900
118,2849700
119,4185700
120,3021100
121,2970500
122,2713400
123,4066900
124,2712800
125,3150300
126,2589800
127,2890700
128,2982700
129,2263100
130,3479100
131,2333700
132,2240800
133,2718300
134,3075200
135,2674400
136,2636700
137,3251300
138,2975200
139,2529800
140,2947300
141,2412400
142,2400000
143,2929400
144,2547300
145,2160400
146,3582300
147,3668200
148,2943100
149,2272700
150,2003100
151,2975300
152,2850600
153,4050800
154,2943800
155,3178900
156,2394100
157,2555700
158,3806600
159,2501700
160,3502200
161,2464100
162,2314500
163,2814700
164,2105300
165,2124100
166,3912200
167,3741300
168,2367600
169,1938400
170,2974700
171,2792400
172,2141000
173,2974400
174,2370200
175,2655300
176,2745100
177,2405900
178,2899000
179,2760000
180,2383200
181,3287600
182,3015800
183,3265300
184,2108400
185,2453300
186,3077400
187,2256800
188,2928500
189,2224100
190,1878900
191,2768700
192,2476000
193,1979700
194,2656100
195,2364700
196,1703600
197,3020100
198,2493200
199,3187800
200,2588600
201,2246400
202,3330400
203,3307400
204,5039600
205,4952900
206,3715900
207,3796000
208,3789700
209,3156500
210,3573100
211,3632600
212,2639300
213,2296700
214,3557700
215,3410700
216,3654500
217,4418600
218,4603300
219,4897000
220,3830800
221,3833300
222,4138900
223,3547300
224,3562100
225,3176000
226,4349500
227,6488700
228,4825900
229,4283300
230,3514000
231,3737700
232,3841900
233,3042400
234,2520900
235,2720600
236,2209500
237,2307200
238,2787800
239,2178700
240,2502600
241,2236500
242,2280700
243,2901000
244,3087000
245,2610700
246,2604100
247,4140000
248,3670600
249,2375700
250,3270400
251,2277400
252,2440600
253,2468200
254,2113400
255,2240100
256,2846500
257,2124600
258,2955900
259,2311300
260,2167200
261,3412400
262,2283100
263,2872800
264,3263700
265,2518400
266,3002500
267,2336900
268,2287800
269,3205500
270,2441900
271,2846200
272,2383900
273,2097500
274,3199400
275,3699300
276,3854900
277,3010400
278,3013500
279,4332000
280,3302500
281,4105800
282,3465100
283,2377800
284,1882700
285,2581000
286,2129500
287,1804500
288,2385200
289,2377100
290,1730100
291,2507800
292,1826200
293,2118400
294,2578100
295,2381000
296,1908600
297,2517900
298,1946700
299,1530100
300,1616400
301,2318200
302,2201400
303,1690800
304,2245600
305,2379700
306,2185500
307,1946300
308,2560100
309,1907100
310,2490300
311,2343600
312,2528200
313,3092200
314,2118300
315,1838900
316,2400900
317,2314900
318,2101400
319,2448800
320,2449800
321,2116900
322,2499700
323,2235000
324,2675300
325,2989900
326,2022400
327,1909600
328,2728500
329,2098000
330,2397100
331,2205000
332,2229200
333,2098400
334,2868300
335,2240000
336,2397500
337,2203700
338,1745700
339,1767500
340,3091700
341,2369700
342,1931800
343,3006000
344,1790600
345,1682400
346,3019800
347,2462900
348,2902800
349,2577900
350,2075400
351,2619700
352,2011500
353,2130200
354,2878200
355,3414800
356,2963600
357,2584500
358,2098400
359,2714000
360,2728700
361,2649800
362,3043800
363,2537000
364,2954100
365,3053500
366,4346700
367,2605700
368,2754200
369,2268200
370,1965600
371,1883900
372,2470900
373,1737700
374,1541000
375,1723200
376,2430700
377,1851500
378,1497600
379,2280600
380,1763000
381,1922800
382,2477100
383,1798700
384,1567300
385,1628300
386,2310700
387,1977000
388,1774000
389,2231300
390,1938800
391,1681200
392,1754500
393,2386700
394,2931200
395,2919600
396,2939600
397,2125300
398,2702700
399,2050100
400,2267400
401,2802600
402,2154800
403,2402100
404,3723100
405,2326500
406,4109000
407,2664600
408,2642200
409,2351000
410,2315100
411,2689900
412,2626600
413,2252200
414,2568800
415,2604800
416,2929500
417,2100000
418,2273400
419,3095700
420,2141700
421,2259600
422,2380300
423,2138300
424,2302900
425,2612900
426,2074300
427,2223100
428,2915000
429,2060800
430,2759000
431,2185000
432,1932700
433,2400800
434,2712800
435,2675000
436,2609200
437,2155200
438,1918200
439,2331700
440,2065500
441,2277600
442,2955800
443,1915100
444,1945200
445,2937900
446,2264400
447,1840500
448,2478300
449,1822400
450,2211400
451,2874600
452,2578900
453,2856700
454,2594600
455,2227600
456,3333700
457,3098300
458,3836100
459,3486200
460,4296200
461,3042600
462,2588400
463,2182600
464,2619500
465,2929600
466,1941200
467,2014800
468,2126100
469,1735500
470,1704600
471,2514000
472,2549200
473,1856000
474,2583200
475,2158800
476,2014900
477,2357000
478,2636000
479,1807300
480,2569400
481,2166100
482,1944600
483,2853400
484,2385300
485,1993000
486,3768300
487,2635300
488,2716300
489,2264900
490,2072400
491,2318300
492,3366000
493,2319400
494,2521400
495,1857000
496,1495600
497,2642500
498,2137800
499,1926100
500,2179200
501,2363600
502,2175800
503,1991000
504,2891400
505,1988500
506,2113100
507,2680400
508,1835500
509,2990400
510,2484700
511,1782400
512,1575100
513,2027400
514,2608100
515,2020900
516,2474200
517,1850300
518,1736500
519,2537600
520,2336600
521,1946700
522,2399100
523,1961100
524,2401000
525,2624500
526,2325900
527,2219000
528,2398500
529,1976900
530,1726600
531,2610200
532,2593400
533,2116300
534,2732500
535,2037200
536,2156200
537,2643400
538,2176600
539,1786000
540,2219700
541,2262800
542,2068300
