frame,frame_time_ns
1,336728200
2,6602900
3,6154700
4,6582100
5,9860400
6,4205800
7,4239600
8,7092800
9,6091800
10,6292100
11,9276500
12,5478200
13,4578000
14,8464000
15,6088200
16,5550200
17,6031300
18,5103700
19,5663600
20,5093600
21,6368800
22,6041500
23,5488100
24,4926000
25,5256400
26,5246400
27,5546200
28,4553400
29,4952300
30,5509400
31,6126800
32,4617700
33,4952800
34,5371200
35,3181700
36,5244500
37,2991100
38,4905500
39,3697400
40,6423100
41,5694000
42,4760300
43,4520900
44,5547000
45,7706800
46,3158700
47,4577500
48,2847600
49,3959400
50,4720600
51,5871000
52,4823200
53,4222400
54,4798400
55,5559100
56,3756800
57,5009100
58,3224100
59,3415800
60,4574000
61,4693800
62,4101700
63,3857000
64,3156500
65,6574600
66,3517400
67,3119300
68,4864400
69,6792800
70,6148900
71,7555500
72,6345700
73,5313100
74,3707600
75,5195100
76,3754500
77,3453600
78,3131400
79,5324200
80,4171500
81,3216000
82,3083100
83,3688900
84,3296000
85,4066500
86,3237900
87,3639300
88,4542700
89,4223400
90,2657600
91,18620200
92,4713600
93,2820100
94,3837900
95,4436100
96,3089900
97,3039300
98,5433800
99,3915300
100,4676100
101,4644500
102,5342300
103,3487500
104,3220900
105,3462900
106,3905500
107,2512700
108,3919800
109,3588500
110,7021800
111,3898900
112,2435100
113,2455400
114,2800000
115,3170600
116,2424200
117,3865200
118,4712100
119,2974800
120,3895100
121,3679100
122,3773400
123,3228100
124,2650800
125,7519500
126,3632200
127,2786400
128,3573600
129,5010700
130,3578500
131,2732300
132,2730200
133,2509600
134,2233600
135,2257000
136,4585500
137,2344200
138,3139700
139,2438300
140,2369200
141,2450800
142,2459200
143,2236900
144,2832300
145,2107500
146,2276700
147,2588500
148,2553100
149,2865900
150,3544900
151,2648000
152,3039200
153,4713000
154,4262600
155,3189500
156,2329600
157,3475100
158,2776300
159,3065300
160,2917600
161,3520300
162,4001500
163,2646600
164,3156100
165,2748800
166,3082500
167,4053200
168,2914100
169,3077200
170,2594100
171,3015500
172,3487000
173,3168300
174,2762600
175,2510100
176,2478000
177,2813600
178,2444900
179,3871700
180,2835400
181,2457600
182,3868600
183,2968700
184,3095600
185,2956200
186,2661800
187,2920900
188,2549200
189,2263500
190,2733000
191,2408300
192,2228700
193,3281400
194,2942000
195,2905900
196,2811500
197,2715300
198,4048000
199,3521500
200,5305400
201,3226500
202,3074700
203,2850200
204,2887700
205,2478200
206,2660100
207,3072900
208,2290900
209,2456500
210,2966800
211,2123000
212,1847700
213,2049600
214,2863200
215,2430500
216,2953000
217,2621500
218,2345800
219,2038200
220,3282300
221,2679000
222,2697000
223,2037200
224,2423300
225,2592800
226,2788800
227,2364200
228,2810200
229,3112600
230,3824400
231,3079300
232,3211100
233,2873800
234,2195800
235,1987800
236,2000200
237,2415800
238,1919400
239,2304700
240,2128700
241,2068500
242,1803900
243,2121000
244,2529600
245,1803600
246,1867500
247,1721300
248,2255200
249,2102500
250,1604900
251,1760800
252,2152300
253,1722300
254,2184100
255,1885100
256,2707300
257,2458200
258,1837600
259,2736600
260,1854100
261,1742100
262,2129600
263,2213600
264,1764100
265,1848200
266,2419900
267,1823100
268,1590600
269,1452400
270,1393700
271,2635600
272,1685600
273,1481400
274,1746300
275,2386500
276,2252600
277,2152000
278,2737900
279,2544800
280,2170300
281,2150000
282,2543300
283,2009500
284,2342300
285,1993000
286,1715900
287,1627000
288,2892200
289,2008400
290,2452200
291,2001100
292,2882900
293,2508900
294,1986100
295,2051200
296,1750000
297,2451200
298,2430700
299,2512200
300,1782200
301,1502600
302,2448600
303,2163700
304,1901500
305,2001000
306,2532500
307,1936400
308,2579500
309,3039600
310,1823500
311,1640100
312,1871300
313,2865300
314,2240100
315,1997600
316,2501700
317,1959100
318,1815300
319,2098300
320,2214700
321,1945500
322,1540200
323,1352500
324,2067500
325,2493700
326,2057700
327,2128300
328,2817800
329,2153800
330,2268000
331,2231100
332,1460700
333,1274800
334,1105300
335,1365300
336,2132200
337,1690600
338,1501500
339,1237000
340,1188700
341,1904500
342,1497500
343,1764300
344,1967600
345,1998900
346,1996500
347,1837200
348,1869000
349,2037900
350,1939300
351,1762400
352,1973300
353,2586400
354,1928700
355,1700400
356,1662700
357,2553900
358,2127600
359,1655800
360,1552700
361,2825100
362,1695600
363,1626700
364,1470800
365,2096800
366,1672600
367,1582700
368,1855600
369,2132100
370,2043200
371,1650300
372,1569000
373,1785300
374,2181300
375,2086000
376,1855600
377,2701800
