variant,run,mean_frame_ms,p50_frame_ms,p95_frame_ms,p99_frame_ms,frames_per_second,jvm_cpu_percent,allocation_bytes_per_second,resident_bytes
with_mod,1,1.353362,1.097599,2.744900,3.372500,519.354110,6.201712,41524398.843,1409181696
with_mod,2,1.067572,0.657400,2.616200,3.265400,643.375127,7.524185,47230422.975,1270450176
with_mod,3,1.600760,1.398600,2.804500,3.632100,444.885313,6.241842,36595106.582,1374134272
with_mod,4,1.621055,1.418700,2.794100,3.669100,439.778183,6.716485,36171852.276,1325703168
with_mod,5,1.080389,0.878600,2.126100,2.660000,650.977066,6.131808,48141710.212,1417981952
without_mod,1,4.959167,2.152600,16.596200,20.791800,167.948893,2.185065,20081576.376,1246797824
without_mod,2,2.641578,1.345200,12.130800,15.234400,304.295213,1.974553,27320650.768,1296433152
without_mod,3,1.165262,0.851100,2.835500,4.987200,713.337262,5.044540,51215812.209,1448607744
without_mod,4,0.799349,0.607100,1.736501,2.188100,876.789095,4.714099,61147728.812,1278627840
without_mod,5,1.285349,1.049600,2.397100,3.487901,553.846426,6.738807,43339652.256,1289764864
